Term,Spanish,Portuguese
Income,Ingresos,Renda
Deductions,Deducciones,Deduções
Credits,Créditos,Créditos
Expenses,Gastos,Despesas
Income and Expenses,Ingresos y gastos,Receitas e despesas
Tax Summary,Resumen de impuestos,Resumo de impostos
Tax Return,Declaración de impuestos,Declaração de impostos
Federal Return,Declaración federal,Declaração federal
State Return,Declaración estatal,Declaração estadual
Amended Return,Declaración enmendada,Declaração retificada
Original Return,Declaración original,Declaração original
Filing Instructions,Instrucciones de presentación,Instruções de envio
Supporting Documents,Documentos de respaldo,Documentos de suporte
Attachments,Anexos,Anexos
Nonresident Return,Declaración de no residente,Declaração de não residente
Resident Return,Declaración de residente,Declaração de residente
Dual Status Return,Declaración de doble estatus,Declaração de status duplo
Foreign Information,Información extranjera,Informações estrangeiras
Foreign Info,Información extranjera,Informações estrangeiras
International Information,Información internacional,Informações internacionais
Foreign Return,Declaración extranjera,Declaração estrangeira
International Return,Declaración internacional,Declaração internacional
Foreign Tax Return,Declaración de impuestos extranjera,Declaração de imposto estrangeira
International Tax Return,Declaración de impuestos internacional,Declaração de imposto internacional
Overseas Return,Declaración del extranjero,Declaração do exterior
Country Return,Declaración por país,Declaração por país
LATAM Return,Declaración LATAM,Declaração LATAM
Latam Return,Declaración LATAM,Declaração LATAM
Latin America Return,Declaración de América Latina,Declaração da América Latina
LATAM country Return,Declaración de país LATAM,Declaração de país LATAM
(LATAM country) Return,Declaración de país LATAM,Declaração de país LATAM
Foreign Filing,Presentación extranjera,Envio estrangeiro
Foreign Filing Requirement,Requisito de presentación extranjera,Exigência de envio estrangeiro
Foreign Disclosure,Divulgación extranjera,Divulgação estrangeira
International Disclosure,Divulgación internacional,Divulgação internacional
Cross-Border Return,Declaración transfronteriza,Declaração transfronteiriça
Mexico Return,Declaración de México,Declaração do México
MExico return,Declaración de México,Declaração do México
Mexican Return,Declaración mexicana,Declaração mexicana
Return - Mexico,Declaración - México,Declaração - México
Venezuela Return,Declaración de Venezuela,Declaração da Venezuela
Venezuela return,Declaración de Venezuela,Declaração da Venezuela
Return - Venezuela,Declaración - Venezuela,Declaração - Venezuela
Argentina Return,Declaración de Argentina,Declaração da Argentina
Bolivia Return,Declaración de Bolivia,Declaração da Bolívia
Brazil Return,Declaración de Brasil,Declaração do Brasil
Brasil Return,Declaración de Brasil,Declaração do Brasil
Chile Return,Declaración de Chile,Declaração do Chile
Colombia Return,Declaración de Colombia,Declaração da Colômbia
Costa Rica Return,Declaración de Costa Rica,Declaração da Costa Rica
Cuba Return,Declaración de Cuba,Declaração de Cuba
Dominican Republic Return,Declaración de República Dominicana,Declaração da República Dominicana
Ecuador Return,Declaración de Ecuador,Declaração do Equador
El Salvador Return,Declaración de El Salvador,Declaração de El Salvador
Guatemala Return,Declaración de Guatemala,Declaração da Guatemala
Honduras Return,Declaración de Honduras,Declaração de Honduras
Nicaragua Return,Declaración de Nicaragua,Declaração da Nicarágua
Panama Return,Declaración de Panamá,Declaração do Panamá
Paraguay Return,Declaración de Paraguay,Declaração do Paraguai
Peru Return,Declaración de Perú,Declaração do Peru
Puerto Rico Return,Declaración de Puerto Rico,Declaração de Porto Rico
Uruguay Return,Declaración de Uruguay,Declaração do Uruguai
LATAM Tax Return,Declaración de impuestos LATAM,Declaração de imposto LATAM
Foreign Source Income,Ingresos de fuente extranjera,Renda de fonte estrangeira
International Income,Ingresos internacionales,Renda internacional
Foreign Documents,Documentos extranjeros,Documentos estrangeiros
International Documents,Documentos internacionales,Documentos internacionais
Schedule 1,Anexo 1,Anexo 1
Schedule 2,Anexo 2,Anexo 2
Schedule 3,Anexo 3,Anexo 3
Schedule A,Anexo A,Anexo A
Schedule B,Anexo B,Anexo B
Schedule C,Anexo C,Anexo C
Schedule C-EZ,Anexo C-EZ,Anexo C-EZ
Schedule D,Anexo D,Anexo D
Schedule E,Anexo E,Anexo E
Schedule F,Anexo F,Anexo F
Schedule H,Anexo H,Anexo H
Schedule J,Anexo J,Anexo J
Schedule R,Anexo R,Anexo R
Schedule SE,Anexo SE,Anexo SE
Schedule OI,Anexo OI,Anexo OI
Schedule NEC,Anexo NEC,Anexo NEC
Sch A,Anexo A,Anexo A
Sch B,Anexo B,Anexo B
Sch C,Anexo C,Anexo C
Sch D,Anexo D,Anexo D
Sch E,Anexo E,Anexo E
Sch F,Anexo F,Anexo F
Sch SE,Anexo SE,Anexo SE
Sched C,Anexo C,Anexo C
Sched E,Anexo E,Anexo E
Wages,Salarios,Salários
Salary,Salario,Salário
Wages and Salaries,Salarios y sueldos,Salários e ordenados
Tips,Propinas,Gorjetas
Interest,Intereses,Juros
Dividend Income,Ingresos por dividendos,Renda de dividendos
Qualified Dividends,Dividendos calificados,Dividendos qualificados
Capital Gains,Ganancias de capital,Ganhos de capital
Capital Losses,Pérdidas de capital,Perdas de capital
Ordinary Income,Ingresos ordinarios,Renda ordinária
Other Income,Otros ingresos,Outras rendas
Foreign Income,Ingresos extranjeros,Renda estrangeira
Business Income,Ingresos del negocio,Renda do negócio
Rental Income,Ingresos de alquiler,Renda de aluguel
Royalty Income,Ingresos por regalías,Renda de royalties
Partnership,Sociedad,Parceria
Partnership Income,Ingresos de sociedad,Renda de parceria
S Corporation Income,Ingresos de corporación S,Renda de corporação S
Trust Income,Ingresos de fideicomiso,Renda de trust
Estate Income,Ingresos de patrimonio,Renda de espólio
Unemployment,Desempleo,Desemprego
Social Security Benefits,Beneficios del Seguro Social,Benefícios da Previdência Social
Pension and Annuity,Pensión y anualidad,Pensão e anuidade
IRA Distribution,Distribución de IRA,Distribuição de IRA
Roth Conversion,Conversión Roth,Conversão Roth
Taxable Income,Ingreso gravable,Renda tributável
Adjusted Gross Income,Ingreso bruto ajustado,Renda bruta ajustada
AGI,Ingreso bruto ajustado,Renda bruta ajustada
Standard Deduction,Deducción estándar,Dedução padrão
Itemized Deductions,Deducciones detalladas,Deduções detalhadas
Charitable Contributions,Contribuciones caritativas,Contribuições beneficentes
Medical Expenses,Gastos médicos,Despesas médicas
Mortgage Interest,Intereses hipotecarios,Juros hipotecários
Property Taxes,Impuestos sobre la propiedad,Impostos sobre propriedade
State and Local Taxes,Impuestos estatales y locales,Impostos estaduais e locais
SALT,Impuestos estatales y locales,Impostos estaduais e locais
Business Expenses,Gastos del negocio,Despesas do negócio
Education Expenses,Gastos educativos,Despesas educacionais
Student Loan Interest,Interés de préstamo estudiantil,Juros de empréstimo estudantil
HSA,Deducción HSA,Dedução HSA
Self Employed Health Insurance,Seguro médico de trabajador independiente,Seguro saúde de autônomo
SEP Contribution,Contribución SEP,Contribuição SEP
SIMPLE Contribution,Contribución SIMPLE,Contribuição SIMPLE
Retirement Contribution,Contribución para jubilación,Contribuição para aposentadoria
Tax Credits,Créditos fiscales,Créditos fiscais
Child Tax Credit,Crédito tributario por hijos,Crédito fiscal infantil
Additional Child Tax Credit,Crédito tributario adicional por hijos,Crédito fiscal adicional infantil
Credit for Other Dependents,Crédito por otros dependientes,Crédito por outros dependentes
Earned Income Credit,Crédito por ingreso del trabajo,Crédito de renda do trabalho
EIC,Crédito por ingreso del trabajo,Crédito de renda do trabalho
Education Credit,Crédito educativo,Crédito educacional
American Opportunity Credit,Crédito de oportunidad americana,Crédito de oportunidade americana
Lifetime Learning Credit,Crédito vitalicio por aprendizaje,Crédito de aprendizado vitalício
Foreign Tax Credit,Crédito por impuesto extranjero,Crédito de imposto estrangeiro
Residential Energy Credit,Crédito de energía residencial,Crédito de energia residencial
EV Credit,Crédito de vehículo eléctrico,Crédito de veículo elétrico
Payments,Pagos,Pagamentos
Estimated Tax Payments,Pagos estimados de impuestos,Pagamentos estimados de impostos
Federal Withholding,Retención federal,Retenção federal
State Withholding,Retención estatal,Retenção estadual
Refund,Reembolso,Reembolso
Amount Due,Monto adeudado,Valor devido
Balance Due,Saldo adeudado,Saldo devido
Overpayment,Sobrepago,Pagamento em excesso
Direct Deposit,Depósito directo,Depósito direto
Routing Number,Número de ruta,Número de roteamento
Account Number,Número de cuenta,Número da conta
Additional Taxes,Impuestos adicionales,Impostos adicionais
Self Employment Tax,Impuesto sobre trabajo por cuenta propia,Imposto sobre trabalho autônomo
Net Investment Income Tax,Impuesto sobre ingresos netos de inversión,Imposto sobre renda líquida de investimento
Alternative Minimum Tax,Impuesto mínimo alternativo,Imposto mínimo alternativo
AMT,Impuesto mínimo alternativo,Imposto mínimo alternativo
Household Employment Taxes,Impuestos de empleo doméstico,Impostos de emprego doméstico
Early Withdrawal Penalty,Penalidad por retiro anticipado,Penalidade por saque antecipado
Form W-2,Formulario W-2,Formulário W-2
W-2,Formulario W-2,Formulário W-2
Form W-2G,Formulario W-2G,Formulário W-2G
W-2G,Formulario W-2G,Formulário W-2G
Form 1099,Formulario 1099,Formulário 1099
1099,Formulario 1099,Formulário 1099
Form1099,Formulario 1099,Formulário 1099
1099 Form,Formulario 1099,Formulário 1099
Consolidated Form 1099,Formulario 1099 consolidado,Formulário 1099 consolidado
Consolidated 1099,1099 consolidado,1099 consolidado
Consolidated Form1099,Formulario 1099 consolidado,Formulário 1099 consolidado
Consolidated 1099 Form,Formulario 1099 consolidado,Formulário 1099 consolidado
Annual Consolidated 1099,1099 consolidado anual,1099 consolidado anual
Composite 1099,1099 compuesto,1099 composto
Combined 1099,1099 combinado,1099 combinado
Broker 1099,1099 del corredor,1099 da corretora
Brokerage 1099,1099 de corretaje,1099 de corretagem
1099 Package,Paquete 1099,Pacote 1099
1099 Statement,Estado 1099,Extrato 1099
1099 Statements,Estados 1099,Extratos 1099
Form 1099-B,Formulario 1099-B,Formulário 1099-B
1099-B,Formulario 1099-B,Formulário 1099-B
1099B,Formulario 1099-B,Formulário 1099-B
1099 B,Formulario 1099-B,Formulário 1099-B
Form1099-B,Formulario 1099-B,Formulário 1099-B
Form 1099B,Formulario 1099-B,Formulário 1099-B
1099-B Detail,Detalle 1099-B,Detalhe 1099-B
1099-B Details,Detalles 1099-B,Detalhes 1099-B
1099B Detail,Detalle 1099-B,Detalhe 1099-B
1099B Details,Detalles 1099-B,Detalhes 1099-B
1099 B Detail,Detalle 1099-B,Detalhe 1099-B
1099 B Details,Detalles 1099-B,Detalhes 1099-B
1099-B Summary,Resumen 1099-B,Resumo 1099-B
1099B Summary,Resumen 1099-B,Resumo 1099-B
1099 B Summary,Resumen 1099-B,Resumo 1099-B
1099-B Proceeds,Ingresos 1099-B,Proventos 1099-B
1099-B Basis,Base 1099-B,Base 1099-B
1099-B Adjustments,Ajustes 1099-B,Ajustes 1099-B
1099-B Transactions,Transacciones 1099-B,Transações 1099-B
1099-B Sales,Ventas 1099-B,Vendas 1099-B
Form 1099-DIV,Formulario 1099-DIV,Formulário 1099-DIV
1099-DIV,Formulario 1099-DIV,Formulário 1099-DIV
Form 1099-INT,Formulario 1099-INT,Formulário 1099-INT
1099-INT,Formulario 1099-INT,Formulário 1099-INT
Form 1099-MISC,Formulario 1099-MISC,Formulário 1099-MISC
1099-MISC,Formulario 1099-MISC,Formulário 1099-MISC
Form 1099-NEC,Formulario 1099-NEC,Formulário 1099-NEC
1099-NEC,Formulario 1099-NEC,Formulário 1099-NEC
1099 NEC,Formulario 1099-NEC,Formulário 1099-NEC
Form 1099-K,Formulario 1099-K,Formulário 1099-K
1099-K,Formulario 1099-K,Formulário 1099-K
Form 1099-G,Formulario 1099-G,Formulário 1099-G
1099-G,Formulario 1099-G,Formulário 1099-G
Form 1099-R,Formulario 1099-R,Formulário 1099-R
1099-R,Formulario 1099-R,Formulário 1099-R
Form 1099-SA,Formulario 1099-SA,Formulário 1099-SA
1099-SA,Formulario 1099-SA,Formulário 1099-SA
Form 1099-Q,Formulario 1099-Q,Formulário 1099-Q
1099-Q,Formulario 1099-Q,Formulário 1099-Q
Form 1099-LTC,Formulario 1099-LTC,Formulário 1099-LTC
1099-LTC,Formulario 1099-LTC,Formulário 1099-LTC
Form 1099-OID,Formulario 1099-OID,Formulário 1099-OID
1099-OID,Formulario 1099-OID,Formulário 1099-OID
Form 1099-PATR,Formulario 1099-PATR,Formulário 1099-PATR
1099-PATR,Formulario 1099-PATR,Formulário 1099-PATR
Form 1098,Formulario 1098,Formulário 1098
1098,Formulario 1098,Formulário 1098
Form 1098-E,Formulario 1098-E,Formulário 1098-E
1098-E,Formulario 1098-E,Formulário 1098-E
Form 1098-T,Formulario 1098-T,Formulário 1098-T
1098-T,Formulario 1098-T,Formulário 1098-T
Form 1095-A,Formulario 1095-A,Formulário 1095-A
1095-A,Formulario 1095-A,Formulário 1095-A
Form 1095-B,Formulario 1095-B,Formulário 1095-B
1095-B,Formulario 1095-B,Formulário 1095-B
Form 1095-C,Formulario 1095-C,Formulário 1095-C
1095-C,Formulario 1095-C,Formulário 1095-C
Form 5498,Formulario 5498,Formulário 5498
5498,Formulario 5498,Formulário 5498
Form 5498-SA,Formulario 5498-SA,Formulário 5498-SA
5498-SA,Formulario 5498-SA,Formulário 5498-SA
Form 3921,Formulario 3921,Formulário 3921
3921,Formulario 3921,Formulário 3921
Form 3922,Formulario 3922,Formulário 3922
3922,Formulario 3922,Formulário 3922
Form 2439,Formulario 2439,Formulário 2439
2439,Formulario 2439,Formulário 2439
Form 6252,Formulario 6252,Formulário 6252
6252,Formulario 6252,Formulário 6252
Form 6781,Formulario 6781,Formulário 6781
6781,Formulario 6781,Formulário 6781
Form 4797,Formulario 4797,Formulário 4797
4797,Formulario 4797,Formulário 4797
Form 8949,Formulario 8949,Formulário 8949
8949,Formulario 8949,Formulário 8949
Form 6251,Formulario 6251,Formulário 6251
6251,Formulario 6251,Formulário 6251
Form 1116,Formulario 1116,Formulário 1116
1116,Formulario 1116,Formulário 1116
Form 2555,Formulario 2555,Formulário 2555
2555,Formulario 2555,Formulário 2555
Form 2555-EZ,Formulario 2555-EZ,Formulário 2555-EZ
2555-EZ,Formulario 2555-EZ,Formulário 2555-EZ
Form 8833,Formulario 8833,Formulário 8833
8833,Formulario 8833,Formulário 8833
Form 8843,Formulario 8843,Formulário 8843
8843,Formulario 8843,Formulário 8843
Form 8233,Formulario 8233,Formulário 8233
8233,Formulario 8233,Formulário 8233
Form 8805,Formulario 8805,Formulário 8805
8805,Formulario 8805,Formulário 8805
Form 8804,Formulario 8804,Formulário 8804
8804,Formulario 8804,Formulário 8804
Form 8813,Formulario 8813,Formulário 8813
8813,Formulario 8813,Formulário 8813
Form 8288,Formulario 8288,Formulário 8288
8288,Formulario 8288,Formulário 8288
Form 8288-A,Formulario 8288-A,Formulário 8288-A
8288-A,Formulario 8288-A,Formulário 8288-A
Form 8288-B,Formulario 8288-B,Formulário 8288-B
8288-B,Formulario 8288-B,Formulário 8288-B
Form 8801,Formulario 8801,Formulário 8801
8801,Formulario 8801,Formulário 8801
Form 8858,Formulario 8858,Formulário 8858
8858,Formulario 8858,Formulário 8858
Form 8865,Formulario 8865,Formulário 8865
8865,Formulario 8865,Formulário 8865
Form 5471,Formulario 5471,Formulário 5471
5471,Formulario 5471,Formulário 5471
5471 Schedule J,5471 Anexo J,5471 Anexo J
5471 Schedule M,5471 Anexo M,5471 Anexo M
5471 Schedule O,5471 Anexo O,5471 Anexo O
5471 Schedule P,5471 Anexo P,5471 Anexo P
5471 Schedule Q,5471 Anexo Q,5471 Anexo Q
5471 Schedule R,5471 Anexo R,5471 Anexo R
Form 8854,Formulario 8854,Formulário 8854
8854,Formulario 8854,Formulário 8854
Form 8938,Formulario 8938,Formulário 8938
8938,Formulario 8938,Formulário 8938
Form8938,Formulario 8938,Formulário 8938
Specified Foreign Financial Assets,Activos financieros extranjeros especificados,Ativos financeiros estrangeiros especificados
Form 8621,Formulario 8621,Formulário 8621
8621,Formulario 8621,Formulário 8621
Form 926,Formulario 926,Formulário 926
926,Formulario 926,Formulário 926
Form 3520,Formulario 3520,Formulário 3520
3520,Formulario 3520,Formulário 3520
Form 3520-A,Formulario 3520-A,Formulário 3520-A
3520-A,Formulario 3520-A,Formulário 3520-A
Form 8992,Formulario 8992,Formulário 8992
8992,Formulario 8992,Formulário 8992
Form 8993,Formulario 8993,Formulário 8993
8993,Formulario 8993,Formulário 8993
Form 8990,Formulario 8990,Formulário 8990
8990,Formulario 8990,Formulário 8990
Form 8995,Formulario 8995,Formulário 8995
8995,Formulario 8995,Formulário 8995
Form 8995-A,Formulario 8995-A,Formulário 8995-A
8995-A,Formulario 8995-A,Formulário 8995-A
Form 3468,Formulario 3468,Formulário 3468
3468,Formulario 3468,Formulário 3468
Form 3800,Formulario 3800,Formulário 3800
3800,Formulario 3800,Formulário 3800
Form 4136,Formulario 4136,Formulário 4136
4136,Formulario 4136,Formulário 4136
Form 8962,Formulario 8962,Formulário 8962
8962,Formulario 8962,Formulário 8962
Form 8960,Formulario 8960,Formulário 8960
8960,Formulario 8960,Formulário 8960
Form 8812,Formulario 8812,Formulário 8812
8812,Formulario 8812,Formulário 8812
Form 8815,Formulario 8815,Formulário 8815
8815,Formulario 8815,Formulário 8815
Form 8863,Formulario 8863,Formulário 8863
8863,Formulario 8863,Formulário 8863
Form 8889,Formulario 8889,Formulário 8889
8889,Formulario 8889,Formulário 8889
Form 8606,Formulario 8606,Formulário 8606
8606,Formulario 8606,Formulário 8606
Form 5329,Formulario 5329,Formulário 5329
5329,Formulario 5329,Formulário 5329
Form 5695,Formulario 5695,Formulário 5695
5695,Formulario 5695,Formulário 5695
Form 2441,Formulario 2441,Formulário 2441
2441,Formulario 2441,Formulário 2441
Form 8839,Formulario 8839,Formulário 8839
8839,Formulario 8839,Formulário 8839
Form 8917,Formulario 8917,Formulário 8917
8917,Formulario 8917,Formulário 8917
Form 8880,Formulario 8880,Formulário 8880
8880,Formulario 8880,Formulário 8880
Form 8959,Formulario 8959,Formulário 8959
8959,Formulario 8959,Formulário 8959
Form 8965,Formulario 8965,Formulário 8965
8965,Formulario 8965,Formulário 8965
FBAR,FBAR,FBAR
F BAR,FBAR,FBAR
FinCEN Form 114,Formulario FinCEN 114,Formulário FinCEN 114
FinCEN 114,FinCEN 114,FinCEN 114
Foreign Bank Account Report,Reporte de cuentas bancarias extranjeras,Relatório de contas bancárias estrangeiras
Foreign Account Report,Reporte de cuenta extranjera,Relatório de conta estrangeira
Foreign Financial Accounts,Cuentas financieras extranjeras,Contas financeiras estrangeiras
FATCA,FATCA,FATCA
K-1,Anexo K-1,Anexo K-1
Schedule K-1,Anexo K-1,Anexo K-1
K1,Anexo K-1,Anexo K-1
Grantor Letter,Carta del otorgante,Carta do instituidor
SSA-1099,Formulario SSA-1099,Formulário SSA-1099
RRB-1099,Formulario RRB-1099,Formulário RRB-1099
Statement,Estado,Declaração
Statements,Estados,Declarações
Detail,Detalle,Detalhe
Details,Detalles,Detalhes
Summary,Resumen,Resumo

